Country Code,Region,AG.LND.ARBL.ZS,EG.ELC.ACCS.ZS,NE.TRD.GNFS.ZS,NV.IND.MANF.ZS,NY.GDP.MINR.RT.ZS,NY.GDP.PETR.RT.ZS,NY.GNP.PCAP.KD,SE.PRM.CMPT.ZS,SH.H2O.BASW.ZS,SI.DST.10TH.10,SL.TLF.0714.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.CACT.MA.ZS,SL.TLF.INTM.ZS,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,TX.VAL.AGRI.ZS.UN,TX.VAL.MMTL.ZS.UN
AGO,Sub-Saharan Africa,4.31940322451271,51.1,50.8422305562091,7.62750781911399,0.0,28.2744398825844,3240.53033158937,47.8556786596463,67.9607422242112,39.6,30.1,92.779,85.641,72.224,77.467,89.21,29.3448620963565,70.6551379036435,0.0343988204055892,4.35688565012152
ALB,Europe & Central Asia,21.5583941605839,100.0,79.4546360752224,6.50597363839623,0.180213705970408,1.04218369204761,6816.67297750756,107.345321655273,95.1194270680062,22.8,5.5,82.056,54.455,58.567,70.218,68.53,41.4536365956445,58.5463634043555,0.478588016708596,5.64934031462141
ARG,Latin America & Caribbean,14.7577340144481,100.0,27.929760849367,15.1850458096465,0.580266654524776,1.54438228879011,12505.2907557563,98.9436486948575,99.0413738458383,31.2,5.025251,78.584,46.094,52.469,71.663,63.497,7.7257684027048,92.2742315972952,0.569107123358434,0.170904833823205
ARM,Europe & Central Asia,15.6598854445336,100.0,150.064726588742,10.1577162268666,6.78656847475307,0.0,5100.32060529785,98.213668887244,99.9315721509168,22.9,9.9,72.326,35.64,51.057,69.522,65.185,34.1886328550099,65.8113671449901,0.326290727403031,16.1462440928624
BEN,Sub-Saharan Africa,31.4468987229514,57.0,40.6398022401523,10.1743449588896,0.0,0.0,1304.49669100683,61.6417503356934,69.5868397867067,27.2,24.1,76.049,66.244,75.164,77.558,68.465,47.4544645181577,52.5455354818423,52.8512203374072,0.0708610340008799
BFA,Sub-Saharan Africa,28.9012744883041,21.7,60.5024222912348,9.49858147123838,15.4526004842572,0.0,713.639642168901,51.9892903102133,49.9986600107497,30.2,50.3,72.833,58.031,64.074,76.135,54.925,71.6647485103338,28.3352514896662,6.03371512709553,0.247414696660435
BGD,South Asia,60.6277888905986,99.5,26.7780758040478,21.8929603584194,0.0,0.0315771885826906,1303.87050839108,94.3021681436472,98.7825421934741,25.5,5.002084,74.856,57.839,38.649,80.404,60.194,67.3216803676693,32.6783196323307,0.767841924151289,0.293795364051544
BIH,Europe & Central Asia,7.2265625,100.0,95.1562957108171,12.7116441103994,0.0397800429056463,0.0,6747.67481641577,100.520736694336,96.0873127231219,25.1,10.6,82.572,24.866,39.241,59.978,61.842,47.8775697245065,52.1224302754935,3.97874953223472,8.26696745615403
BLR,Europe & Central Asia,27.4298832907189,100.0,131.91792910245,20.311752291688,0.0,0.81410582144289,6836.76225157673,95.772858453021,99.8924920429612,20.7,2.3,83.692,13.89,56.769,69.858,68.805,20.8448984789152,79.1551015210848,3.58103012490945,1.14504386655469
BOL,Latin America & Caribbean,5.13483577956245,99.8,46.9778716148403,13.0661500585552,5.91005603334556,1.26335187425347,3039.77136301269,96.2025910226778,93.3877494672031,31.3,13.92,86.863,73.909,72.868,84.439,78.256,28.7638546226012,71.2361453773988,1.0336461136292,43.5898503549869
CHL,Latin America & Caribbean,1.89396886756197,100.0,63.859857248066,9.01046913453608,16.2274265774554,0.0126983242549898,14975.1296614437,100.907341003418,99.0811612150969,34.5,4.5,84.838,42.745,52.887,71.927,66.495,11.0049091520804,88.9950908479196,5.33512337473342,56.1402892229553
CIV,Sub-Saharan Africa,15.1038040880503,72.4,51.2640379409119,12.918437529424,2.50107699952363,0.70017290136454,2292.44162038,80.237080416679,77.2470593822361,27.8,36.5,73.752,57.016,59.454,74.406,66.472,46.0266886059858,53.9733113940142,13.6041037172069,0.7696455104056
CMR,Sub-Saharan Africa,13.1158638488714,72.0,34.4031785915423,12.880227254442,0.0,2.36159953238547,1489.47345396696,75.2884678128093,71.410178711283,31.1,62.0,32.465,36.663,56.595,73.941,24.966,44.5968251390922,55.4031748609078,14.8855657415823,2.21406928262342
COD,Sub-Saharan Africa,6.571475618094,22.1,100.554088317275,8.21811392729758,28.8127978039482,0.649836903019219,587.282897241254,75.7079315185547,35.6813611952254,35.7,41.3914285397468,61.018,62.389,61.848,66.846,53.112,55.2544195591247,44.7455804408753,0.254197238413813,76.344497695925
COG,Sub-Saharan Africa,1.61054172767204,51.3,93.1881220839752,12.8531970155196,0.0,34.3828809069635,1507.26790589068,71.1370697021484,73.4884211673414,37.9,31.5,36.48,46.63,65.576,70.102,45.273,36.1133888300096,63.8866111699904,2.41749351627059,1.19935592976496
COL,Latin America & Caribbean,2.29770166741776,98.7,37.0254687077888,10.0955376873703,0.910145514972726,3.42402487593374,7042.64420155787,97.1171035766602,97.0965711084738,42.7,5.56,81.044,51.301,51.624,75.694,68.184,21.4789188133885,78.5210811866115,5.08801286297382,1.83962796660093
CRI,Latin America & Caribbean,3.27327457892675,100.0,71.3310137687617,12.9639765989781,0.0,0.0089657936912584,13504.5355579748,100.666328430176,99.8154123406248,34.2,1.31,72.344,52.689,46.017,69.762,63.463,20.6892327602033,79.3107672397967,1.10627636932224,1.39829772346223
DOM,Latin America & Caribbean,20.2448088116483,99.6,51.7835143952326,12.4639218694399,2.0447901942435,0.0,8743.46392358168,89.9788377526112,97.4571299883182,29.5,13.1965934572113,83.157,61.543,53.655,76.36,67.768,27.5878125247849,72.4121874752151,0.488478407233015,3.28093047847441
ECU,Latin America & Caribbean,4.13915284264777,98.7,57.2031395531255,12.8762268451495,0.0,6.40325083301788,6105.22396594368,100.199679503356,92.0708709697554,33.4,5.562005,77.163,59.546,52.386,76.868,68.64,36.7623067602398,63.2376932397602,3.87702424418659,6.88594032491159
EGY,Middle East & North Africa,3.11718318348486,100.0,39.6007520873733,13.8934615296088,0.0,2.98581458250197,3823.154027417,98.2100688782627,97.2982426280194,24.6,2.9,66.735,34.446,18.455,70.514,51.478,57.1995636061596,42.8004363938404,1.08645718713918,5.40785612895585
ETH,Sub-Saharan Africa,14.5325559938566,55.4,17.4004358583187,4.39391406328772,0.264587228725472,0.0,933.211042472744,54.4429654143725,55.5960696159493,24.8,26.1,91.613,67.299,58.456,78.644,60.64,76.3777160644531,23.6222839355469,9.67258056201782,0.720590411591821
GEO,Europe & Central Asia,4.37473017700389,100.0,103.456471449056,8.4367085488571,1.27778979307602,0.0292949219912809,6535.18517957646,103.758309503472,97.2900166595814,26.2,31.8,75.113,33.833,56.697,73.492,68.298,38.9210394906267,61.0789605093733,0.692520555826796,13.5747783758894
