"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.3971618640558","78.3792465808841","78.4516821435145","78.3189179248654","78.3106045318912","78.5135491522876","78.6658030070289","78.7340838944026","78.6182216983941","78.439739941647","78.3017696138533","78.1625502711007","78.0450359002376","77.9469778024166","77.8216645087589","77.7234268552631","77.5409326607748","77.3423928899255","77.1415848369395","76.7290740070791","76.3064160077016","76.4440394590359","75.8843621583897","76.4539267249611","75.6483547746965","75.3643214926961","74.9573129759996","74.4021356110584","74.0961490956025","73.8407564505941","72.788274813391","72.9269050555996","73.2727767742293","74.4228644333012","74.3485756631091","74.3001132221371",
"Afghanistan","AFG","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","80.002","80.025","80","79.96","79.936","79.913","79.91","79.932","79.952","79.943","79.906","79.834","79.737","79.622","79.495","79.35","79.173","78.957","78.714","78.458","78.209","77.975","77.116","76.226","75.308","74.361","73.401","71.37","69.386","66.75","66.843","70.225","70.074","69.954","69.76",
"Africa Western and Central","AFW","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5299693040422","83.7061285285308","83.8631693607476","83.9833402646972","84.072050526494","84.0438185645611","83.8607579265325","83.6863031577614","83.5408083033462","83.3408215597946","83.0441042655392","82.8263203997981","82.492369978718","82.2342467307194","81.9978474543886","81.7505733133278","81.4613072246475","81.1727143443071","80.8528222058673","80.6226021975484","80.2518463634936","80.101860778837","79.8086589154112","79.5191716739608","79.2053769450619","78.9734971472499","79.0136201383793","78.5484469082998","78.4274463495803","78.2759305725248","77.0653890403218","77.430196908831","78.1818665667056","77.5270516673732","77.3676130095308","77.2804604483756",
"Angola","AGO","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.015","79.15","79.275","79.39","79.491","79.539","79.54","79.513","79.466","79.416","79.355","79.287","79.217","79.146","79.081","79.031","78.995","78.973","78.969","78.979","78.99","79.899","79.569","79.235","78.897","78.556","78.212","77.863","77.511","77.156","75.392","78.13","76.535","77.588","77.522","77.467",
"Albania","ALB","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.901","77.605","78.439","77.319","76.354","74.902","73.918","75.17","74.219","72.916","72.218","71.366","70.902","69.354","67.778","66.178","64.556","62.916","61.259","64.458","63.935","67.629","65.406","61.438","63.307","64.257","65.075","66.75","67.535","68.005","66.795","67.165","68.176","70.068","70.121","70.218",
"Andorra","AND","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.846588736426","74.7682144195302","74.7146630828876","75.1816062336444","75.2016762115091","74.8428112684971","74.5260090587614","74.2566965601331","73.8615199048986","74.1396487814181","73.3351824928067","72.2482152832011","71.4972597592341","71.4794383873754","71.5230536372112","71.6058295136348","71.7083174645236","71.5853082493812","71.7099663624065","71.565727425674","72.3043118845574","72.1797118456502","71.7534109336045","71.658991373449","71.5192560038348","70.5467589332526","70.3758910288439","69.6446523239175","69.6291136575926","69.7155373557304","68.0274111223834","68.2920036629774","69.5384299075277","70.7443202874466","70.7109181641051","70.5257180088368",
"United Arab Emirates","ARE","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.796","89.96","90.272","90.831","91.354","91.915","91.731","90.887","90.251","89.842","89.624","89.67","89.937","90.371","90.939","91.57","91.967","91.984","91.604","91.027","91.191","91.597","91.824","91.959","92.047","92.121","92.393","92.135","92.545","91.67","88.88","90.216","89.288","91.409","91.578","91.55",
"Argentina","ARG","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.099","76.281","76.286","76.326","76.19","75.322","75.315","75.593","75.596","75.044","74.795","74.251","73.078","73.843","74.612","74.628","74.522","73.99","73.448","73.392","73.314","73.981","73.258","72.851","72.007","71.478","70.948","70.414","70.466","70.981","65.925","70.836","71.453","71.944","71.769","71.663",
